fe2o3-example-regressions-v1
package|rustc_check|rocm_compile|gpu_smoke|artifacts
fe2o3-add-inplace|true|true|true|add_inplace.hsaco
fe2o3-axpy-inplace|true|true|true|axpy_inplace.hsaco
fe2o3-copy|true|true|true|copy.hsaco
fe2o3-downsample|true|true|true|downsample.hsaco
fe2o3-fill|true|true|true|fill.hsaco
fe2o3-gather-odd|true|true|true|gather_odd.hsaco
fe2o3-negate|true|true|true|negate.hsaco
fe2o3-normalize|true|true|true|normalize.hsaco
fe2o3-pipeline|true|true|true|bias_stage.hsaco,scale_stage.hsaco
fe2o3-previous|true|true|true|previous.hsaco
fe2o3-raw-add-index|true|true|true|raw_add_index.hsaco
fe2o3-raw-const-minus|true|true|true|raw_const_minus.hsaco
fe2o3-raw-disjoint-inplace-shift|true|true|true|raw_disjoint_inplace_shift.hsaco
fe2o3-raw-disjoint-shift|true|true|true|raw_disjoint_shift.hsaco
fe2o3-raw-gather|true|true|true|raw_gather.hsaco
fe2o3-raw-neighbors|true|true|true|raw_neighbors.hsaco
fe2o3-raw-output-shift|true|true|true|raw_output_shift.hsaco
fe2o3-raw-parenthesized-sub|true|true|true|raw_parenthesized_sub.hsaco
fe2o3-saxpy|true|true|true|saxpy.hsaco
fe2o3-scalar-gemm-v1|true|false|false|-
fe2o3-scale|true|true|true|scale.hsaco
fe2o3-shift|true|true|true|shift.hsaco
fe2o3-stencil|true|true|true|stencil.hsaco
fe2o3-vecadd|true|true|true|vecadd.hsaco
fe2o3-vecadd-f64|true|true|true|vecadd_f64.hsaco
verus-vecadd|true|false|false|-
