fe2o3-example-regressions-v2
package|rustc_check|artifact_qualification|source_artifacts
fe2o3-add-inplace|true|none|add_inplace.hsaco
fe2o3-axpy-inplace|true|none|axpy_inplace.hsaco
fe2o3-copy|true|none|copy.hsaco
fe2o3-downsample|true|none|downsample.hsaco
fe2o3-fill|true|kernel-ir-v1|fill.hsaco
fe2o3-gather-odd|true|none|gather_odd.hsaco
fe2o3-negate|true|none|negate.hsaco
fe2o3-normalize|true|none|normalize.hsaco
fe2o3-pipeline|true|none|bias_stage.hsaco,scale_stage.hsaco
fe2o3-previous|true|none|previous.hsaco
fe2o3-raw-add-index|true|none|raw_add_index.hsaco
fe2o3-raw-const-minus|true|none|raw_const_minus.hsaco
fe2o3-raw-disjoint-inplace-shift|true|none|raw_disjoint_inplace_shift.hsaco
fe2o3-raw-disjoint-shift|true|none|raw_disjoint_shift.hsaco
fe2o3-raw-gather|true|none|raw_gather.hsaco
fe2o3-raw-neighbors|true|none|raw_neighbors.hsaco
fe2o3-raw-output-shift|true|none|raw_output_shift.hsaco
fe2o3-raw-parenthesized-sub|true|none|raw_parenthesized_sub.hsaco
fe2o3-saxpy|true|none|saxpy.hsaco
fe2o3-scalar-gemm-v1|true|none|-
fe2o3-scale|true|none|scale.hsaco
fe2o3-shift|true|none|shift.hsaco
fe2o3-stencil|true|none|stencil.hsaco
fe2o3-vecadd|true|none|-
fe2o3-vecadd-f64|true|none|vecadd_f64.hsaco
verus-vecadd|true|none|-
